borocd;total;age_avg_median;area_km2;ethn_asian;ethn_black;ethn_hispanic;ethn_white;household_income_avg_median;sex_female;sex_male
481;73;77,9;4,41324522673546;29;9;4;31;;60;13
313;93027;46,2150684931507;8,18930328643817;12233;12454;13231;53669;35927,589041095890;51063;41964
208;101487;41,5476190476191;8,55357509815789;4832;11050;46266;37125;61963,216867469880;54011;47476
411;121596;43,70625;24,2308717659312;48448;1978;13569;54268;79612,693693693694;62928;58668
301;174080;30,9821917808219;12,2417316541204;8491;7712;48832;106099;49096,301369863014;88184;85896
210;122921;41,7850574712644;16,6840369014623;6214;27005;45524;41701;59757,229885057471;65149;57772
228;794;43,8333333333333;8,53986198669616;35;418;196;87;49686,000000000000;349;445
318;202801;37,6102739726028;21,8927640098273;7263;125334;16659;50150;69634,335616438356;109412;93389
315;156597;41,3255813953488;12,2299885739618;26104;4620;11415;112523;52946,209302325581;81954;74643
501;173516;35,6592;35,0203088055652;12551;39410;48841;68579;64420,352000000000;89650;83866
401;184706;35,7523809523809;15,9366087740048;25298;16903;51739;86531;54003,143835616438;89511;95195
306;111103;35,3486486486486;7,94292832379454;6490;10433;21322;69175;96549,684684684685;58517;52586
307;131080;32,9617021276596;9,67782105683397;36451;3579;57342;31045;52842,075268817204;62897;68183
405;168766;38,4137931034483;19,5465845798807;13143;2261;60657;91180;58050,710344827586;86186;82580
502;131920;42,8845238095238;55,1059622138173;17209;4397;16883;92239;75363,392857142857;68911;63009
595;874;38,1;5,08199363719013;0;68;125;653;57069,000000000000;475;399
104;101715;39,1267605633803;4,57941089596947;12411;6451;18154;61824;92132,47887323944;49199;52516
106;136212;39,0056603773585;3,59629459155021;19139;4462;11645;97566;107255,18867924529;75399;60813
111;121862;34,3320512820513;6,14524501176641;8739;37489;55617;17105;35472,05194805195;64713;57149
112;202037;36,6576271186441;7,24377467001912;5086;15365;142802;35057;42380,923728813555;102925;99112
484;15;84,2;11,5006522941616;0;0;0;15;;12;3
402;106466;37,33;12,9967565167173;35249;1487;37882;29651;57541,139240506329;53764;52702
503;163277;42,1691489361702;55,6483716727;6691;1672;15926;137805;87237,319148936170;82963;80314
482;1358;51,95;2,25688220854956;134;52;147;1018;50190,500000000000;724;634
202;54839;30,3604651162791;5,7463541798823;289;12138;40973;793;24666,121951219512;28617;26222
209;174575;34,9369565217391;10,6157804160965;11131;53551;101269;4004;38754,189781021898;93390;81185
407;246158;43,0343023255814;30,5056009306266;121224;4707;43129;70453;60000,616279069767;127934;118224
355;1488;41,9;2,42845205785281;44;171;112;908;131333,000000000000;822;666
414;114886;38,5159420289855;18,1838214466124;3202;42389;25631;41247;61930,130434782609;61146;53740
410;127146;38,9228260869565;15,9473443233386;25130;21403;30367;28342;61738,521739130435;66290;60856
413;201522;40,4197740112994;32,5604305228545;31945;111553;23148;25250;78071,318181818182;108142;93380
101;62894;37,0407407407407;3,95355140056401;12150;2349;5714;40500;140271,8148148148;31267;31627
226;16;;4,69782995172147;0;16;0;0;;0;16
311;180566;39,6582191780822;9,58535474609465;65751;1785;24038;86637;47082,760273972603;91969;88597
316;86099;33,1329113924051;4,80949126649623;742;67836;15278;1186;32879,367088607595;50205;35894
412;230613;36,7741379310345;24,8362615139381;23700;147497;40951;3971;59651,526011560694;124084;106529
314;156135;35,11875;7,63436607770044;13951;57617;23051;58394;49085,785714285714;83033;73102
310;132250;39,6026785714286;10,3414324929605;31189;1641;18532;78543;59833,276785714286;68768;63482
312;192197;29,0316901408451;9,2462288131157;33056;4727;25677;126297;40824,528169014085;95061;97136
309;102816;35,3123287671233;4,21134545063217;1959;68351;9901;20642;43487,547945205479;56032;46784
103;162762;38,6601941747573;4,35554994870865;53033;10872;40277;53315;49058,93203883495;83881;78881
304;120798;30,8461538461539;5,26421476723171;5230;21865;80921;11284;39246,769230769231;61048;59750
317;158931;37,7928;8,71527127526077;2020;141051;10567;2556;50397,532258064516;88681;70250
204;145496;31,4142857142857;5,15929608098412;2753;45604;92751;2231;29275,209523809524;76610;68886
205;125715;30,9529411764706;3,55998266427674;1608;33928;86413;2067;26723,068627450980;66372;59343
207;137827;32,5495575221239;4,95272223095685;8229;27137;89869;10100;33525,035398230088;73558;64269
201;92453;29,7887323943662;5,61185062145529;603;24750;64281;1954;24652,463768115942;49710;42743
211;118501;37,9544554455446;9,31965089191766;8686;24062;52104;30980;51898,290000000000;62073;56428
227;1247;34,5;2,92008325366159;43;353;761;90;45270,000000000000;641;606
203;79441;29,7175438596491;4,16355763759395;224;30280;47024;800;24868,857142857143;42727;36714
308;93408;35,3573333333333;4,23574222557537;3648;57740;11451;18111;48311,520000000000;51043;42365
212;155702;35,1573426573427;14,3905677694713;2942;105216;33415;10765;50631,338028169014;85619;70083
206;80094;29,230303030303;3,96369911112342;967;19442;52467;6351;22234,196969696970;42741;37353
409;147723;35,4314285714286;9,97079128878841;36657;10783;61082;26377;60350,352380952381;75385;72338
403;167900;36,4558823529412;7,75626883274478;27988;9476;108253;18577;51640,098039215686;79652;88248
480;0;;3,04014645027332;0;0;0;0;;0;0
303;153782;33,4617647058824;7,38224850712515;4929;96493;29382;20254;42638,382352941176;82526;71256
408;153651;39,3608695652174;19,2835823030568;50130;17882;27420;51483;65143,304347826087;80234;73417
305;180115;32,3131386861314;14,4447310816559;5780;98352;65483;7641;35081,021897810219;99109;81006
404;167929;35,3098901098901;6,10747134707277;57115;10062;85585;12560;46976,758241758242;81650;86279
406;112273;43,056043956044;7,68310794247752;28319;2833;16040;61953;68849,868131868132;59380;52893
302;105647;35,3707070707071;7,36998664738528;8492;26478;16436;49657;83230,927083333333;54776;50871
102;89069;38,6816901408451;3,50424593377312;12616;1570;4977;66891;105242,35211267606;44991;44078
105;53392;39,0591836734694;4,06831839615098;9234;1772;3973;36579;118605,1836734694;27672;25720
107;211952;42,2517006802721;4,93825040154128;17658;14120;31987;142771;102633,74829931973;113952;98000
164;3;36,5;3,55928407282859;0;0;2;0;;3;0
108;216008;42,7835365853659;5,12474300294981;18018;6769;16545;170091;121618,93292682926;122209;93799
109;108926;32,5754098360656;3,89202614607263;8175;26456;43810;27141;47148,833333333336;58894;50032
110;129180;35,2194805194805;3,63074772019241;4220;77137;28361;15814;40604,14473684211;68851;60329
